stage,gin,barcode,induct_at_ms,shiptop_station_at_ms,contentsdrop_station_at_ms,verification_at_ms,expected_shiptop_printer,expected_contentsdrop_printer,expected_verification_barcode,expected_outcome,required_log_markers
2,13,PNA4-SHIPDOWN-0005,4000,8000,7500,11000,PNA2_152,I001,PNA4-SHIPDOWN-0005123,ship,"Gin: 13 barcode: PNA4-SHIPDOWN-0005 | Sending Label to printer : PNA4-SHIPDOWN-0005 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0005 at Printer: I001 | [Verification SUCCESS] GIN 13 matches expected barcode PNA4-SHIPDOWN-0005123"
2,14,PNA4-SHIPDOWN-0006,5000,9000,9500,12500,PNA2_152,I002,PNA4-SHIPDOWN-0006123,ship,"Gin: 14 barcode: PNA4-SHIPDOWN-0006 | Sending Label to printer : PNA4-SHIPDOWN-0006 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0006 at Printer: I002 | [Verification SUCCESS] GIN 14 matches expected barcode PNA4-SHIPDOWN-0006123"
2,15,PNA4-SHIPDOWN-0007,6000,10000,9500,13000,PNA2_152,I001,PNA4-SHIPDOWN-0007123,ship,"Gin: 15 barcode: PNA4-SHIPDOWN-0007 | Sending Label to printer : PNA4-SHIPDOWN-0007 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0007 at Printer: I001 | [Verification SUCCESS] GIN 15 matches expected barcode PNA4-SHIPDOWN-0007123"
2,16,PNA4-SHIPDOWN-0008,7000,11000,11500,14500,PNA2_152,I002,PNA4-SHIPDOWN-0008123,ship,"Gin: 16 barcode: PNA4-SHIPDOWN-0008 | Sending Label to printer : PNA4-SHIPDOWN-0008 at Printer: PNA2_152 | Sending Label to printer : PNA4-SHIPDOWN-0008 at Printer: I002 | [Verification SUCCESS] GIN 16 matches expected barcode PNA4-SHIPDOWN-0008123"
3,17,PNA4-CONTDOWN-0001,0,3000,4500,7500,PNA2_151,I002,PNA4-CONTDOWN-0001123,ship,"Gin: 17 barcode: PNA4-CONTDOWN-0001 | Sending Label to printer : PNA4-CONTDOWN-0001 at Printer: PNA2_151 | Sending Label to printer : PNA4-CONTDOWN-0001 at Printer: I002 | [Verification SUCCESS] GIN 17 matches expected barcode PNA4-CONTDOWN-0001123"
3,18,PNA4-CONTDOWN-0002,1000,5000,5500,8500,PNA2_152,I002,PNA4-CONTDOWN-0002123,ship,"Gin: 18 barcode: PNA4-CONTDOWN-0002 | Sending Label to printer : PNA4-CONTDOWN-0002 at Printer: PNA2_152 | Sending Label to printer : PNA4-CONTDOWN-0002 at Printer: I002 | [Verification SUCCESS] GIN 18 matches expected barcode PNA4-CONTDOWN-0002123"
3,19,PNA4-CONTDOWN-0003,2000,5000,6500,9500,PNA2_151,I002,PNA4-CONTDOWN-0003123,ship,"Gin: 19 barcode: PNA4-CONTDOWN-0003 | Sending Label to printer : PNA4-CONTDOWN-0003 at Printer: PNA2_151 | Sending Label to printer : PNA4-CONTDOWN-0003 at Printer: I002 | [Verification SUCCESS] GIN 19 matches expected barcode PNA4-CONTDOWN-0003123"
3,20,PNA4-CONTDOWN-0004,3000,7000,7500,10500,PNA2_152,I002,PNA4-CONTDOWN-0004123,ship,"Gin: 20 barcode: PNA4-CONTDOWN-0004 | Sending Label to printer : PNA4-CONTDOWN-0004 at Printer: PNA2_152 | Sending Label to printer : PNA4-CONTDOWN-0004 at Printer: I002 | [Verification SUCCESS] GIN 20 matches expected barcode PNA4-CONTDOWN-0004123"
3,21,PNA4-CONTDOWN-0005,4000,7000,8500,11500,PNA2_151,I002,PNA4-CONTDOWN-0005123,ship,"Gin: 21 barcode: PNA4-CONTDOWN-0005 | Sending Label to printer : PNA4-CONTDOWN-0005 at Printer: PNA2_151 | Sending Label to printer : PNA4-CONTDOWN-0005 at Printer: I002 | [Verification SUCCESS] GIN 21 matches expected barcode PNA4-CONTDOWN-0005123"
3,22,PNA4-CONTDOWN-0006,5000,9000,9500,12500,PNA2_152,I002,PNA4-CONTDOWN-0006123,ship,"Gin: 22 barcode: PNA4-CONTDOWN-0006 | Sending Label to printer : PNA4-CONTDOWN-0006 at Printer: PNA2_152 | Sending Label to printer : PNA4-CONTDOWN-0006 at Printer: I002 | [Verification SUCCESS] GIN 22 matches expected barcode PNA4-CONTDOWN-0006123"
3,23,PNA4-CONTDOWN-0007,6000,9000,10500,13500,PNA2_151,I002,PNA4-CONTDOWN-0007123,ship,"Gin: 23 barcode: PNA4-CONTDOWN-0007 | Sending Label to printer : PNA4-CONTDOWN-0007 at Printer: PNA2_151 | Sending Label to printer : PNA4-CONTDOWN-0007 at Printer: I002 | [Verification SUCCESS] GIN 23 matches expected barcode PNA4-CONTDOWN-0007123"
3,24,PNA4-CONTDOWN-0008,7000,11000,11500,14500,PNA2_152,I002,PNA4-CONTDOWN-0008123,ship,"Gin: 24 barcode: PNA4-CONTDOWN-0008 | Sending Label to printer : PNA4-CONTDOWN-0008 at Printer: PNA2_152 | Sending Label to printer : PNA4-CONTDOWN-0008 at Printer: I002 | [Verification SUCCESS] GIN 24 matches expected barcode PNA4-CONTDOWN-0008123"
